@kdebug : DT_INUCAS : called on particle IDXCAS = 245 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.377, 1.089, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 225 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.243, -.348, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 218 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.345, 0.198, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 214 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(-.028, 0.040, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 216 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(*****, 0.565, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 234 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.080, 0.879, 7.381, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 234 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.545, 0.460, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 219 with IDHKK = -4122, IDCH = 0, NOBAM = 0, p=(-.217, 0.191, 9.472, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 247 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.243, -.398, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 218 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.263, -.058, 8.133, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 228 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.001, -.001, 8.663, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 234 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(1.139, 1.251, 1.164, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 214 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.416, -.168, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 220 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.295, 0.312, -.105, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 209 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(-.459, -.553, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 254 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(*****, -.692, 2.253, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 218 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.237, -.164, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 214 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(-.197, 0.162, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 230 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.041, 0.531, 9.964, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 251 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.362, 0.343, 8.513, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 215 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.036, -.309, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 238 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.888, 0.439, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 229 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.542, 0.025, 9.774, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 221 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.114, 0.176, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 215 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.014, 0.072, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 218 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.188, 0.565, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 222 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.085, 0.269, 7.939, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 223 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.011, -.221, 3.639, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 223 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.941, -.892, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 215 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.421, -.042, 3.746, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 226 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.450, 0.329, 2.129, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 223 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.136, 0.105, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 237 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.023, -.312, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 234 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.338, 0.885, 4.350, 0.000)
