Momentum (GeV/c),Theta (Deg),Eta,Delta p / p,DCA-rPhi [um],DCA-z [um]
0.2000,174.3000,-3.000000,0.03858,4356.09061,48477.3472
0.2000,174.0080,-2.950000,0.03702,3880.16747,41519.87672
0.2000,173.7010,-2.900000,0.03548,3726.49567,37191.16221
0.2000,173.3790,-2.850000,0.03397,3389.94684,32800.3534
0.2000,173.0400,-2.800000,0.03249,3151.31935,29120.7983
0.2000,172.6840,-2.750000,0.03105,2935.03284,25922.83064
0.2000,172.3100,-2.700000,0.02965,2739.47993,23139.18323
0.2000,171.9170,-2.650000,0.02829,2562.99034,20713.14468
0.2000,171.5040,-2.600000,0.02671,1951.90512,16900.30245
0.2000,171.0710,-2.550000,0.02546,1837.30004,14940.14882
0.2000,170.6150,-2.500000,0.02426,1690.67237,13267.81197
0.2000,170.1360,-2.450000,0.0231,1557.75904,11803.11396
0.2000,169.6330,-2.400000,0.022,1437.35398,10520.4477
0.2000,169.1040,-2.350000,0.02095,1328.69446,9395.4719
0.2000,168.5490,-2.300000,0.01994,1231.11853,8411.13417
0.2000,167.9670,-2.250000,0.01898,1143.58355,7550.03132
0.2000,167.3540,-2.200000,0.01806,1065.14542,6793.50178
0.2000,166.7120,-2.150000,0.01719,995.62267,6132.61543
0.2000,166.0370,-2.100000,0.01636,933.98162,5552.93426
0.2000,165.3290,-2.050000,0.01557,879.71021,5045.68319
0.2000,164.5850,-2.000000,0.01361,599.72488,3651.09277
0.2000,163.8050,-1.950000,0.01272,535.10623,3228.58567
0.2000,162.9870,-1.900000,0.0119,477.11992,2856.61938
0.2000,162.1280,-1.850000,0.01113,425.20992,2528.62375
0.2000,161.2280,-1.800000,0.01041,379.27578,2239.96086
0.2000,160.2840,-1.750000,0.00962,322.16123,2072.28259
0.2000,159.2940,-1.700000,0.00927,302.45054,1873.44765
0.2000,158.2570,-1.650000,0.00867,273.17505,1662.90121
0.2000,157.1710,-1.600000,0.00811,249.32448,1477.44755
0.2000,156.0340,-1.550000,0.00759,230.15659,1314.03191
0.2000,154.8430,-1.500000,0.00711,215.02193,1169.87493
0.2000,153.5980,-1.450000,0.00665,203.9977,1042.88083
0.2000,152.2950,-1.400000,0.00622,196.49705,930.79249
0.2000,150.9330,-1.350000,0.00582,191.44192,831.91794
0.2000,149.5110,-1.300000,0.00544,188.08071,744.73096
0.2000,148.0250,-1.250000,0.00509,183.00767,641.55457
0.2000,146.4760,-1.200000,0.00432,188.29461,602.67017
0.2000,144.8610,-1.150000,0.00412,177.38197,507.73868
0.2000,143.1780,-1.100000,0.00376,180.13691,478.05671
0.2000,141.4260,-1.050000,0.00297,179.5738,431.09704
0.2000,139.6050,-1.000000,0.00268,177.89527,390.71674
0.2000,137.7130,-0.950000,0.00245,177.37187,361.73084
0.2000,135.7500,-0.900000,0.01467,179.81278,320.09127
0.2000,133.7150,-0.850000,0.00776,170.94758,296.04834
0.2000,131.6080,-0.800000,0.00453,169.13349,273.19263
0.2000,129.4310,-0.750000,0.00452,164.16873,249.8529
0.2000,127.1830,-0.700000,0.00443,160.71803,230.90141
0.2000,124.8670,-0.650000,0.00435,157.01815,214.26426
0.2000,122.4830,-0.600000,0.00428,153.14969,199.67998
0.2000,120.0340,-0.550000,0.00421,149.26545,186.93776
0.2000,117.5240,-0.500000,0.00415,145.54633,175.85423
0.2000,114.9550,-0.450000,0.00409,142.04133,166.25951
0.2000,112.3310,-0.400000,0.00404,138.78165,158.01404
0.2000,109.6560,-0.350000,0.004,135.88278,150.99692
0.2000,106.9370,-0.300000,0.00396,133.33141,145.11111
0.2000,104.1770,-0.250000,0.00392,131.16021,140.26595
0.2000,101.3840,-0.200000,0.0039,129.39842,136.39538
0.2000,98.5620,-0.150000,0.00388,128.04686,133.44072
0.2000,95.7200,-0.100000,0.00386,127.04944,131.36221
0.2000,92.8640,-0.050000,0.00385,126.44612,130.12891
0.2000,90.0000,0.000000,0.00385,126.24595,128.47188
0.2000,87.1360,0.050000,0.00385,126.44756,131.07051
0.2000,84.2800,0.100000,0.00386,127.05234,132.30276
0.2000,81.4380,0.150000,0.00388,128.05193,134.38056
0.2000,78.6160,0.200000,0.0039,129.40405,137.33482
0.2000,75.8230,0.250000,0.00393,131.1673,141.20522
0.2000,73.0630,0.300000,0.00396,133.34083,146.05039
0.2000,70.3440,0.350000,0.004,135.89269,151.93631
0.2000,67.6690,0.400000,0.00404,138.791,158.95359
0.2000,65.0450,0.450000,0.00409,142.0554,167.19919
0.2000,62.4760,0.500000,0.00415,145.56119,176.79393
0.2000,59.9660,0.550000,0.00421,149.29146,187.87735
0.2000,57.5170,0.600000,0.00428,153.17853,200.61927
0.2000,55.1330,0.650000,0.00435,157.07243,215.20301
0.2000,52.8170,0.700000,0.00444,160.77177,231.83937
0.2000,50.5690,0.750000,0.00452,164.23195,250.78979
0.2000,48.3920,0.800000,0.00453,169.1317,273.02858
0.2000,46.2850,0.850000,0.00776,170.93327,297.1757
0.2000,44.2500,0.900000,0.01467,179.78379,321.20823
0.2000,42.2870,0.950000,0.00244,177.40123,362.53526
0.2000,40.3950,1.000000,0.00268,177.86712,391.64468
0.2000,38.5740,1.050000,0.00296,179.56126,432.0224
0.2000,36.8220,1.100000,0.00375,180.11493,478.6178
0.2000,35.1390,1.150000,0.00411,177.43306,509.24607
0.2000,33.5240,1.200000,0.00433,188.30371,602.68266
0.2000,31.9750,1.250000,0.0051,183.00309,643.28177
0.2000,30.4890,1.300000,0.00546,188.11934,745.80414
0.2000,29.0670,1.350000,0.00583,191.47258,832.99554
0.2000,27.7050,1.400000,0.00623,196.49414,931.87461
0.2000,26.4020,1.450000,0.00666,203.98881,1043.96758
0.2000,25.1570,1.500000,0.00712,214.99087,1170.96643
0.2000,23.9660,1.550000,0.0076,230.10024,1315.12829
0.2000,22.8290,1.600000,0.00812,249.28453,1478.54894
0.2000,21.7430,1.650000,0.00868,273.12604,1664.00775
0.2000,20.7060,1.700000,0.00928,302.40686,1874.55948
0.2000,19.7160,1.750000,0.00961,322.09197,2071.95068
0.2000,18.7720,1.800000,0.01041,379.2827,2240.05384
0.2000,17.8720,1.850000,0.01113,425.21617,2528.71762
0.2000,17.0130,1.900000,0.0119,477.12759,2856.71431
0.2000,16.1950,1.950000,0.01272,535.11164,3228.68185
0.2000,15.4150,2.000000,0.01361,599.73326,3651.19049
0.2000,14.6710,2.050000,0.01557,879.71021,5045.68319
0.2000,13.9630,2.100000,0.01636,933.98162,5552.93426
0.2000,13.2880,2.150000,0.01719,995.62267,6132.61543
0.2000,12.6460,2.200000,0.01806,1065.14542,6793.50178
0.2000,12.0330,2.250000,0.01898,1143.58355,7550.03132
0.2000,11.4510,2.300000,0.01994,1231.11853,8411.13417
0.2000,10.8960,2.350000,0.02095,1328.69446,9395.4719
0.2000,10.3670,2.400000,0.022,1437.35398,10520.4477
0.2000,9.8640,2.450000,0.0231,1557.75904,11803.11396
0.2000,9.3850,2.500000,0.02426,1690.67237,13267.81197
0.2000,8.9290,2.550000,0.02546,1837.30004,14940.14882
0.2000,8.4960,2.600000,0.02671,1951.90512,16900.30245
0.2000,8.0830,2.650000,0.02829,2562.99034,20713.14468
0.2000,7.6900,2.700000,0.02965,2802.98708,23155.51604
0.2000,7.3160,2.750000,0.03105,3000.88062,25969.24679
0.2000,6.9600,2.800000,0.03249,3197.62465,29833.16155
0.2000,6.6210,2.850000,0.03397,3339.70289,34776.30563
0.2000,6.2990,2.900000,0.03548,3738.36893,38630.6327
0.2000,5.9920,2.950000,0.03702,3875.34086,43536.41345
0.2000,5.7000,3.000000,0.03879,4249.85386,49490.44393
0.3000,174.3000,-3.000000,0.03048,2371.98408,27369.2763
0.3000,174.0080,-2.950000,0.02912,2188.33911,24262.92232
0.3000,173.7010,-2.900000,0.02779,2021.17235,21543.57735
0.3000,173.3790,-2.850000,0.02651,1869.5297,19167.36249
0.3000,173.0400,-2.800000,0.02528,1732.01292,17082.37855
0.3000,172.6840,-2.750000,0.0241,1607.8664,15257.11159
0.3000,172.3100,-2.700000,0.02296,1495.96846,13657.93334
0.3000,171.9170,-2.650000,0.02187,1395.5349,12256.04049
0.3000,171.5040,-2.600000,0.02011,1028.54899,10064.07735
0.3000,171.0710,-2.550000,0.01915,936.63238,8938.3342
0.3000,170.6150,-2.500000,0.01823,853.26865,7947.69022
0.3000,170.1360,-2.450000,0.01735,778.35736,7078.3682
0.3000,169.6330,-2.400000,0.01651,710.83383,6315.7722
0.3000,169.1040,-2.350000,0.01571,649.82224,5645.89934
0.3000,168.5490,-2.300000,0.01495,595.64328,5058.96342
0.3000,167.9670,-2.250000,0.01423,547.65822,4544.8778
0.3000,167.3540,-2.200000,0.01354,505.41116,4092.72491
0.3000,166.7120,-2.150000,0.01288,468.1146,3697.34286
0.3000,166.0370,-2.100000,0.01226,435.51219,3350.23244
0.3000,165.3290,-2.050000,0.01166,407.37987,3046.24652
0.3000,164.5850,-2.000000,0.01022,277.13065,2195.7665
0.3000,163.8050,-1.950000,0.00961,251.43652,1942.1954
0.3000,162.9870,-1.900000,0.00903,230.94284,1718.87242
0.3000,162.1280,-1.850000,0.0085,214.83281,1521.87482
0.3000,161.2280,-1.800000,0.008,202.53968,1348.43782
0.3000,160.2840,-1.750000,0.00768,184.57514,1191.24318
0.3000,159.2940,-1.700000,0.00722,190.7165,1127.26731
0.3000,158.2570,-1.650000,0.00679,187.56619,1000.89728
0.3000,157.1710,-1.600000,0.00694,184.99688,864.40301
0.3000,156.0340,-1.550000,0.00705,178.45424,744.28595
0.3000,154.8430,-1.500000,0.00663,176.84644,662.70529
0.3000,153.5980,-1.450000,0.00618,176.86657,622.48082
0.3000,152.2950,-1.400000,0.00754,177.46643,549.16416
0.3000,150.9330,-1.350000,0.00705,175.06809,490.91017
0.3000,149.5110,-1.300000,0.0066,172.18077,439.53073
0.3000,148.0250,-1.250000,0.00617,168.82232,394.14058
0.3000,146.4760,-1.200000,0.00551,164.68456,353.38134
0.3000,144.8610,-1.150000,0.00664,157.36028,312.78941
0.3000,143.1780,-1.100000,0.00613,152.86316,282.16326
0.3000,141.4260,-1.050000,0.00565,148.17341,255.1235
0.3000,139.6050,-1.000000,0.00521,143.1949,231.2662
0.3000,137.7130,-0.950000,0.0052,137.48798,214.22648
0.3000,135.7500,-0.900000,0.01359,139.02521,192.98823
0.3000,133.7150,-0.850000,0.00459,125.89312,180.59288
0.3000,131.6080,-0.800000,0.00422,120.47315,163.87144
0.3000,129.4310,-0.750000,0.00414,115.1049,150.91473
0.3000,127.1830,-0.700000,0.00406,110.03115,139.51581
0.3000,124.8670,-0.650000,0.004,105.21963,129.51158
0.3000,122.4830,-0.600000,0.00393,100.87406,120.74414
0.3000,120.0340,-0.550000,0.00387,96.97473,113.08605
0.3000,117.5240,-0.500000,0.00382,93.4975,106.42645
0.3000,114.9550,-0.450000,0.00377,90.41724,100.66265
0.3000,112.3310,-0.400000,0.00373,87.71377,95.71025
0.3000,109.6560,-0.350000,0.00369,85.3688,91.4962
0.3000,106.9370,-0.300000,0.00366,83.36829,87.96188
0.3000,104.1770,-0.250000,0.00363,81.69696,85.05256
0.3000,101.3840,-0.200000,0.00361,80.34488,82.7284
0.3000,98.5620,-0.150000,0.00359,79.30188,80.95405
0.3000,95.7200,-0.100000,0.00358,78.56185,79.70556
0.3000,92.8640,-0.050000,0.00357,78.11935,78.96431
0.3000,90.0000,0.000000,0.00357,77.97128,77.98929
0.3000,87.1360,0.050000,0.00357,78.12024,79.85657
0.3000,84.2800,0.100000,0.00358,78.56365,80.59823
0.3000,81.4380,0.150000,0.00359,79.3046,81.84795
0.3000,78.6160,0.200000,0.00361,80.34855,83.62429
0.3000,75.8230,0.250000,0.00363,81.7016,85.95109
0.3000,73.0630,0.300000,0.00366,83.37393,88.86358
0.3000,70.3440,0.350000,0.00369,85.37546,92.40148
0.3000,67.6690,0.400000,0.00373,87.72149,96.61937
0.3000,65.0450,0.450000,0.00377,90.42605,101.57573
0.3000,62.4760,0.500000,0.00382,93.50741,107.34348
0.3000,59.9660,0.550000,0.00388,96.98576,114.00689
0.3000,57.5170,0.600000,0.00393,100.88621,121.66855
0.3000,55.1330,0.650000,0.004,105.23289,130.43923
0.3000,52.8170,0.700000,0.00407,110.04574,140.4463
0.3000,50.5690,0.750000,0.00414,115.12032,151.8476
0.3000,48.3920,0.800000,0.00422,120.48636,164.80623
0.3000,46.2850,0.850000,0.00458,125.88516,181.18776
0.3000,44.2500,0.900000,0.01359,139.02826,194.06595
0.3000,42.2870,0.950000,0.0052,137.49714,215.16418
0.3000,40.3950,1.000000,0.0052,143.19737,232.03693
0.3000,38.5740,1.050000,0.00564,148.18323,255.89941
0.3000,36.8220,1.100000,0.00612,152.86482,282.94418
0.3000,35.1390,1.150000,0.00663,157.35048,313.57523
0.3000,33.5240,1.200000,0.00551,164.71072,353.47677
0.3000,31.9750,1.250000,0.00617,168.86548,395.07252
0.3000,30.4890,1.300000,0.0066,172.18413,440.4607
0.3000,29.0670,1.350000,0.00705,175.05484,491.83785
0.3000,27.7050,1.400000,0.00754,177.44944,550.08925
0.3000,26.4020,1.450000,0.00617,176.88972,622.90188
0.3000,25.1570,1.500000,0.00662,176.9033,664.21523
0.3000,23.9660,1.550000,0.00704,178.47103,745.79219
0.3000,22.8290,1.600000,0.00693,185.01298,864.48675
0.3000,21.7430,1.650000,0.00679,187.60445,1001.97292
0.3000,20.7060,1.700000,0.00722,190.73607,1128.34715
0.3000,19.7160,1.750000,0.00768,184.60592,1192.04556
0.3000,18.7720,1.800000,0.008,202.55602,1348.547
0.3000,17.8720,1.850000,0.0085,214.8432,1521.98657
0.3000,17.0130,1.900000,0.00903,230.94759,1718.98711
0.3000,16.1950,1.950000,0.00961,251.43469,1942.31349
0.3000,15.4150,2.000000,0.01022,277.12714,2195.88858
0.3000,14.6710,2.050000,0.01166,407.37987,3046.24652
0.3000,13.9630,2.100000,0.01226,435.51219,3350.23244
0.3000,13.2880,2.150000,0.01288,468.1146,3697.34286
0.3000,12.6460,2.200000,0.01354,505.41116,4092.72491
0.3000,12.0330,2.250000,0.01423,547.65822,4544.8778
0.3000,11.4510,2.300000,0.01495,595.64328,5058.96342
0.3000,10.8960,2.350000,0.01571,649.82224,5645.89934
0.3000,10.3670,2.400000,0.01651,710.83383,6315.7722
0.3000,9.8640,2.450000,0.01735,778.35736,7078.3682
0.3000,9.3850,2.500000,0.01823,853.26865,7947.69022
0.3000,8.9290,2.550000,0.01915,936.63238,8938.3342
0.3000,8.4960,2.600000,0.02011,1028.54899,10064.07735
0.3000,8.0830,2.650000,0.02187,1395.5349,12256.04049
0.3000,7.6900,2.700000,0.02296,1495.96846,13657.93334
0.3000,7.3160,2.750000,0.0241,1607.8664,15257.11159
0.3000,6.9600,2.800000,0.02528,1732.01292,17082.37855
0.3000,6.6210,2.850000,0.02651,1869.5297,19167.36249
0.3000,6.2990,2.900000,0.02779,2021.17235,21543.57735
0.3000,5.9920,2.950000,0.02912,2188.33911,24262.92232
0.3000,5.7000,3.000000,0.03048,2371.98408,27369.2763
0.4000,174.3000,-3.000000,0.02753,1579.40055,19491.63497
0.4000,174.0080,-2.950000,0.02625,1450.81579,17301.85891
0.4000,173.7010,-2.900000,0.02502,1333.97506,15379.81489
0.4000,173.3790,-2.850000,0.02384,1228.21828,13696.35772
0.4000,173.0400,-2.800000,0.0227,1132.63851,12216.16855
0.4000,172.6840,-2.750000,0.02162,1046.73718,10917.99597
0.4000,172.3100,-2.700000,0.02058,969.77865,9778.80222
0.4000,171.9170,-2.650000,0.0196,900.62964,8778.74884
0.4000,171.5040,-2.600000,0.01771,637.32724,7230.79483
0.4000,171.0710,-2.550000,0.01686,575.898,6424.70035
0.4000,170.6150,-2.500000,0.01604,520.57331,5714.89518
0.4000,170.1360,-2.450000,0.01527,470.64527,5091.66502
0.4000,169.6330,-2.400000,0.01453,426.36993,4544.67097
0.4000,169.1040,-2.350000,0.01382,387.47281,4063.96686
0.4000,168.5490,-2.300000,0.01315,353.69707,3642.60705
0.4000,167.9670,-2.250000,0.01251,324.62427,3273.4113
0.4000,167.3540,-2.200000,0.0119,299.75631,2948.58602
0.4000,166.7120,-2.150000,0.01133,279.28336,2664.45986
0.4000,166.0370,-2.100000,0.01078,261.78542,2414.95436
0.4000,165.3290,-2.050000,0.01025,247.30529,2196.3924
0.4000,164.5850,-2.000000,0.00901,198.07696,1580.28706
0.4000,163.8050,-1.950000,0.00849,190.47862,1397.9271
0.4000,162.9870,-1.900000,0.00802,185.29837,1237.29761
0.4000,162.1280,-1.850000,0.00756,182.01588,1095.58358
0.4000,161.2280,-1.800000,0.00714,179.91588,970.80193
0.4000,160.2840,-1.750000,0.00688,181.54764,891.0309
0.4000,159.2940,-1.700000,0.00777,181.86322,788.70459
0.4000,158.2570,-1.650000,0.00732,174.80143,677.60189
0.4000,157.1710,-1.600000,0.00689,173.3039,602.19093
0.4000,156.0340,-1.550000,0.00649,170.82516,535.69982
0.4000,154.8430,-1.500000,0.0076,173.74507,496.44927
0.4000,153.5980,-1.450000,0.00759,165.37957,443.02775
0.4000,152.2950,-1.400000,0.00711,160.7609,395.50918
0.4000,150.9330,-1.350000,0.00666,155.05572,353.57999
0.4000,149.5110,-1.300000,0.00624,148.56818,316.59915
0.4000,148.0250,-1.250000,0.00584,141.74972,283.93035
0.4000,146.4760,-1.200000,0.0069,135.93302,250.34398
0.4000,144.8610,-1.150000,0.00638,129.25547,225.38745
0.4000,143.1780,-1.100000,0.0059,122.67242,203.35
0.4000,141.4260,-1.050000,0.00545,116.39672,183.89566
0.4000,139.6050,-1.000000,0.00503,110.19049,166.73367
0.4000,137.7130,-0.950000,0.00496,103.18006,154.48775
0.4000,135.7500,-0.900000,0.01345,104.80711,139.17185
0.4000,133.7150,-0.850000,0.00415,92.49949,128.87103
0.4000,131.6080,-0.800000,0.00407,87.87384,118.29129
0.4000,129.4310,-0.750000,0.004,83.666,108.98234
0.4000,127.1830,-0.700000,0.00393,79.84483,100.79432
0.4000,124.8670,-0.650000,0.00387,76.3882,93.60936
0.4000,122.4830,-0.600000,0.00381,73.2707,87.31343
0.4000,120.0340,-0.550000,0.00375,70.473,81.81448
0.4000,117.5240,-0.500000,0.0037,67.97776,77.0325
0.4000,114.9550,-0.450000,0.00366,65.76698,72.89349
0.4000,112.3310,-0.400000,0.00362,63.82623,69.3367
0.4000,109.6560,-0.350000,0.00358,62.14248,66.30964
0.4000,106.9370,-0.300000,0.00355,60.70575,63.7703
0.4000,104.1770,-0.250000,0.00353,59.5052,61.67951
0.4000,101.3840,-0.200000,0.00351,58.53382,60.00882
0.4000,98.5620,-0.150000,0.00349,57.78442,58.73302
0.4000,95.7200,-0.100000,0.00348,57.25271,57.83509
0.4000,92.8640,-0.050000,0.00347,56.93485,57.30175
0.4000,90.0000,0.000000,0.00347,56.8287,56.63655
0.4000,87.1360,0.050000,0.00347,56.93531,58.13641
0.4000,84.2800,0.100000,0.00348,57.25363,58.67114
0.4000,81.4380,0.150000,0.00349,57.78583,59.57175
0.4000,78.6160,0.200000,0.00351,58.53573,60.8514
0.4000,75.8230,0.250000,0.00353,59.50765,62.527
0.4000,73.0630,0.300000,0.00355,60.70878,64.62363
0.4000,70.3440,0.350000,0.00358,62.14612,67.16956
0.4000,67.6690,0.400000,0.00362,63.83053,70.20377
0.4000,65.0450,0.450000,0.00366,65.77198,73.76808
0.4000,62.4760,0.500000,0.0037,67.98351,77.91479
0.4000,59.9660,0.550000,0.00375,70.47952,82.70442
0.4000,57.5170,0.600000,0.00381,73.27804,88.21083
0.4000,55.1330,0.650000,0.00387,76.39636,94.51384
0.4000,52.8170,0.700000,0.00393,79.85385,101.70538
0.4000,50.5690,0.750000,0.004,83.67586,109.89938
0.4000,48.3920,0.800000,0.00407,87.88455,119.21363
0.4000,46.2850,0.850000,0.00415,92.51104,129.79795
0.4000,44.2500,0.900000,0.01345,104.80118,140.20094
0.4000,42.2870,0.950000,0.00497,103.19317,155.42163
0.4000,40.3950,1.000000,0.00502,110.18468,167.48284
0.4000,38.5740,1.050000,0.00544,116.38221,184.65107
0.4000,36.8220,1.100000,0.00589,122.65254,204.11121
0.4000,35.1390,1.150000,0.00637,129.23175,226.15407
0.4000,33.5240,1.200000,0.0069,135.91336,251.11569
0.4000,31.9750,1.250000,0.00584,141.76379,284.86943
0.4000,30.4890,1.300000,0.00624,148.58314,317.53784
0.4000,29.0670,1.350000,0.00666,155.08307,354.51786
0.4000,27.7050,1.400000,0.00711,160.79582,396.44586
0.4000,26.4020,1.450000,0.00759,165.41888,443.96291
0.4000,25.1570,1.500000,0.0076,173.74595,495.53685
0.4000,23.9660,1.550000,0.00649,170.87528,537.22191
0.4000,22.8290,1.600000,0.00689,173.33775,603.71116
0.4000,21.7430,1.650000,0.00731,174.83388,679.11971
0.4000,20.7060,1.700000,0.00776,181.86564,789.90067
0.4000,19.7160,1.750000,0.00689,181.55174,890.45131
0.4000,18.7720,1.800000,0.00714,179.92002,970.91897
0.4000,17.8720,1.850000,0.00756,182.02287,1095.704
0.4000,17.0130,1.900000,0.00801,185.31689,1237.42189
0.4000,16.1950,1.950000,0.00849,190.49309,1398.05584
0.4000,15.4150,2.000000,0.009,198.0878,1580.42101
0.4000,14.6710,2.050000,0.01025,247.30529,2196.3924
0.4000,13.9630,2.100000,0.01078,261.78542,2414.95436
0.4000,13.2880,2.150000,0.01133,279.28336,2664.45986
0.4000,12.6460,2.200000,0.0119,299.75631,2948.58602
0.4000,12.0330,2.250000,0.01251,324.62427,3273.4113
0.4000,11.4510,2.300000,0.01315,353.69707,3642.60705
0.4000,10.8960,2.350000,0.01382,387.47281,4063.96686
0.4000,10.3670,2.400000,0.01453,426.36993,4544.67097
0.4000,9.8640,2.450000,0.01527,470.64527,5091.66502
0.4000,9.3850,2.500000,0.01604,520.57331,5714.89518
0.4000,8.9290,2.550000,0.01686,575.898,6424.70035
0.4000,8.4960,2.600000,0.01771,637.32724,7230.79483
0.4000,8.0830,2.650000,0.0196,900.62964,8778.74884
0.4000,7.6900,2.700000,0.02058,969.77865,9778.80222
0.4000,7.3160,2.750000,0.02162,1046.73718,10917.99597
0.4000,6.9600,2.800000,0.0227,1132.63851,12216.16855
0.4000,6.6210,2.850000,0.02384,1228.21828,13696.35772
0.4000,6.2990,2.900000,0.02502,1333.97506,15379.81489
0.4000,5.9920,2.950000,0.02625,1450.81579,17301.85891
0.4000,5.7000,3.000000,0.02753,1579.40055,19491.63497
0.5000,174.3000,-3.000000,0.02616,1146.97943,15223.87061
0.5000,174.0080,-2.950000,0.02492,1048.86411,13519.37914
0.5000,173.7010,-2.900000,0.02373,959.88842,12021.84276
0.5000,173.3790,-2.850000,0.02259,879.64581,10709.08721
0.5000,173.0400,-2.800000,0.02151,807.51459,9553.98241
0.5000,172.6840,-2.750000,0.02048,742.90669,8540.2609
0.5000,172.3100,-2.700000,0.01949,684.93603,7650.18014
0.5000,171.9170,-2.650000,0.01855,633.15971,6868.43038
0.5000,171.5040,-2.600000,0.01658,436.54124,5665.49085
0.5000,171.0710,-2.550000,0.01578,392.84684,5034.86261
0.5000,170.6150,-2.500000,0.01501,354.09308,4479.41443
0.5000,170.1360,-2.450000,0.01428,320.44692,3991.59654
0.5000,169.6330,-2.400000,0.01359,291.6648,3563.35794
0.5000,169.1040,-2.350000,0.01293,267.21925,3186.94434
0.5000,168.5490,-2.300000,0.0123,247.51307,2856.94252
0.5000,167.9670,-2.250000,0.0117,231.84818,2567.74931
0.5000,167.3540,-2.200000,0.01113,219.90898,2313.27555
0.5000,166.7120,-2.150000,0.01059,210.20428,2090.65728
0.5000,166.0370,-2.100000,0.01008,202.78012,1895.14159
0.5000,165.3290,-2.050000,0.00959,197.567,1723.85457
0.5000,164.5850,-2.000000,0.00843,181.19052,1238.99909
0.5000,163.8050,-1.950000,0.00797,179.31931,1096.06948
0.5000,162.9870,-1.900000,0.00754,177.9576,970.16364
0.5000,162.1280,-1.850000,0.00713,176.30117,859.07741
0.5000,161.2280,-1.800000,0.00674,174.76797,761.25834
0.5000,160.2840,-1.750000,0.00789,175.81857,714.3312
0.5000,159.2940,-1.700000,0.00744,169.55774,598.21914
0.5000,158.2570,-1.650000,0.00701,166.30255,531.17897
0.5000,157.1710,-1.600000,0.00661,162.18104,472.08065
0.5000,156.0340,-1.550000,0.00624,157.3042,419.97039
0.5000,154.8430,-1.500000,0.00788,151.63095,389.6438
0.5000,153.5980,-1.450000,0.00739,144.58639,347.45625
0.5000,152.2950,-1.400000,0.00693,137.45212,310.20722
0.5000,150.9330,-1.350000,0.00649,130.42361,277.34131
0.5000,149.5110,-1.300000,0.00609,123.53191,248.35626
0.5000,148.0250,-1.250000,0.0057,116.47471,222.75341
0.5000,146.4760,-1.200000,0.0068,110.86619,196.43336
0.5000,144.8610,-1.150000,0.0063,104.28354,176.87848
0.5000,143.1780,-1.100000,0.00583,98.2183,159.61339
0.5000,141.4260,-1.050000,0.0054,92.6828,144.37454
0.5000,139.6050,-1.000000,0.00499,87.52088,130.93374
0.5000,137.7130,-0.950000,0.00486,81.37814,121.35898
0.5000,135.7500,-0.900000,0.01368,83.11033,109.37217
0.5000,133.7150,-0.850000,0.00408,73.01813,101.30886
0.5000,131.6080,-0.800000,0.00401,69.40071,93.03013
0.5000,129.4310,-0.750000,0.00394,66.10929,85.74643
0.5000,127.1830,-0.700000,0.00387,63.11949,79.33989
0.5000,124.8670,-0.650000,0.00381,60.41399,73.71782
0.5000,122.4830,-0.600000,0.00375,57.97299,68.79063
0.5000,120.0340,-0.550000,0.0037,55.78147,64.48612
0.5000,117.5240,-0.500000,0.00366,53.82601,60.74165
0.5000,114.9550,-0.450000,0.00361,52.09267,57.49938
0.5000,112.3310,-0.400000,0.00357,50.57036,54.712
0.5000,109.6560,-0.350000,0.00354,49.24906,52.33868
0.5000,106.9370,-0.300000,0.00351,48.12116,50.34683
0.5000,104.1770,-0.250000,0.00349,47.17833,48.7061
0.5000,101.3840,-0.200000,0.00347,46.41524,47.39453
0.5000,98.5620,-0.150000,0.00345,45.8264,46.39261
0.5000,95.7200,-0.100000,0.00344,45.40854,45.68721
0.5000,92.8640,-0.050000,0.00343,45.15876,45.2681
0.5000,90.0000,0.000000,0.00343,45.07541,44.78713
0.5000,87.1360,0.050000,0.00343,45.15899,46.04583
0.5000,84.2800,0.100000,0.00344,45.40901,46.46697
0.5000,81.4380,0.150000,0.00345,45.82712,47.17596
0.5000,78.6160,0.200000,0.00347,46.41623,48.18298
0.5000,75.8230,0.250000,0.00349,47.17962,49.50103
0.5000,73.0630,0.300000,0.00351,48.12278,51.14949
0.5000,70.3440,0.350000,0.00354,49.25106,53.15015
0.5000,67.6690,0.400000,0.00357,50.57277,55.53319
0.5000,65.0450,0.450000,0.00361,52.09554,58.33097
0.5000,62.4760,0.500000,0.00366,53.82937,61.58406
0.5000,59.9660,0.550000,0.0037,55.78539,65.33956
0.5000,57.5170,0.600000,0.00376,57.9775,69.65505
0.5000,55.1330,0.650000,0.00381,60.41913,74.59293
0.5000,52.8170,0.700000,0.00387,63.12529,80.22522
0.5000,50.5690,0.750000,0.00394,66.11578,86.6413
0.5000,48.3920,0.800000,0.00401,69.4079,93.93375
0.5000,46.2850,0.850000,0.00408,73.02603,102.22032
0.5000,44.2500,0.900000,0.01367,83.10871,110.3455
0.5000,42.2870,0.950000,0.00486,81.38742,122.28316
0.5000,40.3950,1.000000,0.00498,87.51366,131.66274
0.5000,38.5740,1.050000,0.00539,92.67567,145.11156
0.5000,36.8220,1.100000,0.00582,98.21034,160.35767
0.5000,35.1390,1.150000,0.00629,104.2748,177.62934
0.5000,33.5240,1.200000,0.00679,110.86048,197.1902
0.5000,31.9750,1.250000,0.0057,116.48343,223.69378
