0.000110113,2.02264e-05,0,0,0,0,0,0,0,0,0,0
0.000132385,2.43175e-05,0,0,0,0,0,0,0,0,0,0
0.000159162,2.92361e-05,0,0,0,0,0,0,0,0,0,0
0.000191355,3.51495e-05,0,0,0,0,0,0,0,0,0,0
0.000230059,4.2259e-05,0,0,0,0,0,0,0,0,0,0
0.000276592,5.08065e-05,0,0,0,0,0,0,0,0,0,0
0.000332537,6.10829e-05,0,0,0.349851,0.247382,0,0,0,0,0,0
0.000399797,7.34378e-05,0,0,0,0,0,0,0,0,0,0
0.000480662,8.82916e-05,0.672428,0.34086,0,0,0,0,0,0,0,0
0.000577882,0.00010615,0,0,0,0,0.59027,0.417384,0.0847168,0.0599038,0.0777767,0.0549964
0.000694767,0.00012762,0.588384,0.251007,0,0,0,0,0,0,0.0860906,0.0608753
0.000835294,0.000153433,1.0027,0.42269,0.377489,0.266925,0,0,0,0,0,0
0.00100424,0.000184467,0.626619,0.443087,0,0,0.353101,0.189218,0,0,0.0895553,0.0633252
0.00120737,0.000221779,0.415287,0.219484,0.0830481,0.0587238,0,0,0,0,0.260839,0.184441
0.00145157,0.000266636,2.29727,0.62491,0.896844,0.371727,0.891938,0.448056,0.339332,0.239944,0.313135,0.22142
0.00174518,0.000320568,2.45698,0.727805,0.151255,0.106953,0.387095,0.194792,0.78472,0.401231,0.376059,0.189422
0.00209816,0.000385407,2.73223,0.854402,0.507429,0.284777,0,0,0.678493,0.355537,1.88453,0.725953
0.00252255,0.000463361,4.46115,0.950458,1.76653,0.555284,0.443188,0.221772,2.28077,0.654954,0.217602,0.153868
0.00303277,0.000557083,7.11564,1.22066,1.61467,0.532833,1.48122,0.559663,2.04392,0.595585,2.63226,0.700367
0.00364619,0.00066976,9.86705,1.35565,2.1424,0.583693,2.69196,0.59163,3.08345,0.735427,3.35793,0.843881
0.00438369,0.000805229,11.5756,1.47691,4.31706,0.926526,3.77117,1.05044,5.6599,1.0499,4.78502,0.862938
0.00527035,0.000968098,15.369,1.67873,7.18682,1.13474,5.60568,1.06231,4.58833,0.879526,2.91794,0.744752
0.00633635,0.00116391,25.6677,2.28092,14.0704,1.70036,7.17254,1.1965,8.83054,1.2124,7.86847,1.22893
0.00761797,0.00139933,35.149,2.70333,13.9783,1.66154,11.531,1.53987,9.27244,1.38094,15.6195,1.65403
0.00915882,0.00168236,49.2801,3.12999,19.8564,2.00448,13.5979,1.55774,10.1919,1.52171,21.4214,2.07472
0.0110113,0.00202264,71.5871,3.83923,29.9575,2.3678,18.712,1.66434,25.7653,2.1884,26.7604,2.29558
0.0132385,0.00243175,106.73,4.65888,42.9556,2.94051,35.192,2.68009,36.2192,2.65826,43.1225,2.97719
0.0159162,0.00292361,158.367,5.63597,67.6783,3.69966,44.1046,2.90637,49.6786,3.08759,70.6031,3.86721
0.0191355,0.00351495,203.618,6.46243,92.0742,4.27125,67.1195,3.71105,69.8489,3.67584,81.7502,4.06563
0.0230059,0.0042259,316.742,7.91198,138.475,5.22912,82.4901,4.05319,109.167,4.63206,123.962,4.93086
0.0276592,0.00508065,474.843,9.72152,195.622,6.25167,139.002,5.30913,161.466,5.72854,175.669,5.87992
0.0332537,0.00610829,681.206,11.7575,267.808,7.23166,218.613,6.62192,227.489,6.68184,254.763,7.07942
0.0399797,0.00734378,941.671,13.5131,383.058,8.6065,307.765,7.87614,330.903,8.12702,378.174,8.55523
0.0480662,0.00882916,1323.05,16.154,551.595,10.2588,421.721,9.16202,450.27,9.48807,517.977,10.1032
0.0577882,0.010615,1911.83,19.4554,819.979,12.7924,615.406,11.0753,666.227,11.5581,768.517,12.3454
0.0694767,0.012762,2731.21,23.1402,1102.18,14.3213,875.953,13.1935,931.259,13.5993,1005.88,13.7485
0.0835294,0.0153433,3659.73,26.5642,1603.57,17.4817,1216.07,15.3623,1290.18,15.7537,1430.75,16.46
0.100424,0.0184467,4856.34,30.1043,2063.63,19.4973,1556,16.9729,1676.9,17.6225,1876.21,18.422
0.120737,0.0221779,6177.72,33.0095,2628.39,21.4897,2008.1,18.8118,2085.06,18.9638,2393.29,20.2486
0.145157,0.0266636,7595.46,35.7232,3205.33,23.0564,2365.34,19.5667,2521.68,20.1523,2890.3,21.5007
0.174518,0.0320568,8999.34,37.6799,3826.66,24.3568,2765.29,20.3513,2983.14,20.9847,3446.91,22.4249
0.209816,0.0385407,10006.3,38.0383,4259.19,24.7324,3133.6,20.6632,3379.87,21.3359,3953.78,22.8999
0.252255,0.0463361,10823.9,37.785,4684.06,24.8314,3466.8,20.6172,3671.66,21.0891,4423.64,23.1
0.303277,0.0557083,11349.4,37.0211,4883.5,24.1433,3753.78,20.3637,4027.08,21.0198,4737.96,22.598
0.364619,0.066976,11455.8,35.6785,4887.71,23.1488,3957.7,19.9219,4419.83,21.0574,5176.34,22.5717
0.438369,0.0805229,11281.4,34.0172,4879.87,22.3092,4234.61,19.7999,4635.01,20.6327,5569.35,22.5511
0.527035,0.0968098,10739.6,32.1047,4566.51,20.7732,4472.52,19.5789,4801.67,20.2745,5931.49,22.421
0.633635,0.116391,9927.17,30.0491,4175.09,19.3549,4629.38,19.4065,5005.46,20.095,6147.46,22.2671
0.761797,0.139933,8772.87,27.6521,3793.56,18.0626,4662.55,19.139,4966.03,19.5953,6223.82,21.9613
0.915882,0.168236,7158.4,24.7061,3087.23,16.1917,4315.18,18.1247,4610.08,18.6029,5818.75,21.043
